,United States,United States OECD,Australia,Austria,Belgium,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Japan,Korea,Luxembourg,Mexico,Netherlands,New Zealand,Poland,Portugal,Slovak Republic,Spain,Sweden,Switzerland,Turkey,United Kingdom,Brazil,China (People's Republic of),Estonia,Indonesia,Slovenia,South Africa,OECD + Major Six NME,Major Five Asia,OECD - Europe,G7,OECD - Total,Euro area (19 countries),Israel,Russia
1976-05,1,99.87569,100.5985,100,100.7234,100,100.5789,100,101.8507,102.1917,100,100,97.31279,97.19751,100,100,100,100,100.1413,100,100,100,100,100,100,100.9168,100,100.0945,100,100,100,100,100,100,100,100,100.7665,100.7037,100.8131,101.0644,100,100
1976-06,1,100.0682,100.5383,100,100.7672,100,100.2157,100,101.7758,102.2239,100,100,97.25335,97.11523,100,100,100,100,100.0602,100,100,100,100,100,100,101.4725,100,99.79246,100,100,100,100,100,100,100,100,100.7033,100.7668,100.8728,101.0247,100,100
1976-07,1,100.2068,100.5211,100,100.8003,100,99.88527,100,101.6517,102.3024,100,100,97.18126,97.03481,100,100,100,100,100.0291,100,100,100,100,100,100,101.8279,100,99.24672,100,100,100,100,100,100,100,100,100.5993,100.7808,100.8873,100.9937,100,100
1976-08,1,100.2155,100.556,100,100.8118,100,99.64208,100,101.5532,102.387,100,100,97.13006,96.92566,100,100,100,100,100.0168,100,100,100,100,100,100,101.9942,100,98.63851,100,100,100,100,100,100,100,100,100.4812,100.7197,100.8335,100.9677,100,100
1976-09,1,100.1466,100.5709,100,100.7985,100,99.38564,100,101.4579,102.4732,100,100,97.10796,96.85379,100,100,100,100,100.0119,100,100,100,100,100,100,101.9261,100,98.09701,100,100,100,100,100,100,100,100,100.3739,100.6281,100.7473,100.9528,100,100
1976-10,1,100.0679,100.4771,100,100.7533,100,99.10374,100,101.3444,102.5074,100,100,97.14915,96.92072,100,100,100,100,100.0357,100,100,100,100,100,100,101.6764,100,97.81083,100,100,100,100,100,100,100,100,100.313,100.5603,100.6768,100.9463,100,100
1976-11,1,100.0275,100.2541,100,100.6783,100,98.93474,100,101.2883,102.4695,100,100,97.33579,97.16523,100,100,100,100,100.1462,100,100,100,100,100,100,101.2476,100,97.90734,100,100,100,100,100,100,100,100,100.3433,100.563,100.6667,100.9831,100,100
1976-12,1,100.0282,100.1433,100,100.6299,100,98.86669,100,101.2737,102.3391,100,100,97.75689,97.4965,100,100,100,100,100.4148,100,100,100,100,100,100,100.6259,100,98.24213,100,100,100,100,100,100,100,100,100.4193,100.6093,100.7021,101.0374,100,100
1977-01,1,100.072,100.0732,100.0958,100.6549,100,98.90636,100,101.2496,102.1332,100,100,98.32165,97.78979,100,100,100,100,100.8157,100,100,100,100,100,100,99.99426,100,98.63366,100,100,100,100,100,100,100,100,100.4868,100.6667,100.7549,101.0652,100,100
1977-02,1,100.163,99.97035,100.4712,100.6988,100,98.95307,100,101.145,101.8675,100,100,98.67177,97.89546,100,100,100,100,101.0753,100,100,100,100,100,100,99.60902,100,98.8595,100,100,100,100,100,100,100,100,100.4672,100.695,100.7857,100.9711,100,100
